id,submitted,A1_role,A2_age,A3_gender,A4_school,A5_origin,A6_courses,A7_hours,A8_access__none,A8_access__screenreader,A8_access__captions,A8_access__dyslexia,A8_access__motor,A8_access__contrast,A8_access__na,A9_tech,B1_freq,B2_devices__laptop,B2_devices__desktop,B2_devices__phone_browser,B2_devices__phone_app,B2_devices__tablet,B3_primary,B4_session,B5_features__announcements,B5_features__assignments,B5_features__grades,B5_features__modules,B5_features__calendar,B5_features__inbox,B5_features__discussions,B5_features__quizzes,B5_features__recordings,B5_features__groups,B5_features__syllabus,B5_features__none,B6_deadline__canvas_cal,B6_deadline__email,B6_deadline__push,B6_deadline__in_class,B6_deadline__peer,B6_deadline__syllabus,B6_deadline__own_cal,B6_deadline__late,B7_notif,B8_lost,B9_tools__paper,B9_tools__calendar,B9_tools__notes,B9_tools__chat,B9_tools__email,B9_tools__none,C1_find_fast,C2_find_slow,C3_notif_useful,C4_notif_noise,C5_mobile,C6_consistent,C7_uptodate,C8_confident,C9_accessible,C10_group,C11_satisfaction,C12_ease,D1_rank__materials,D1_rank__deadlines,D1_rank__grades,D1_rank__communication,D1_rank__recordings,D1_rank__groupwork,E1_frustrate,E2_helped,E3_more,PC1,PC2,Segment
R001,2026-09-08 14:10,lecturer,30-39,female,tisem,nl,2,1-8,1,0,0,0,0,0,0,6,several,1,1,0,0,0,desktop,gt30,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,inapp,1,1,1,0,0,1,0,4,4,5,7,3,4,4,5,5,3,5,5,2,4,1,3,6,5,"Extending a deadline for three students with an arrangement means editing the assignment, adding a section override, and hoping the dates don't shift for everyone else.","Students see their grades and feedback at the same moment, no more 200 emails.",,-1.762,1.714,S4 Power Instructors
R002,2026-09-08 15:54,msc,21-24,male,tls,eu,3,0,0,0,1,0,0,0,0,6,4-6,1,0,0,1,0,laptop,gt30,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,push,2-3,1,0,1,1,0,0,2,6,2,4,3,2,3,6,4,3,4,5,1,3,4,6,2,5,"I was looking for the reading list for week 4 of Linear Algebra. One lecturer puts readings in Modules, another in Files, another in a PDF under Syllabus. I spent 15 minutes clicking around","Not much, it does the job.",A proper reading list with status (read / to read) would be great.,2.285,2.185,S2 Structured Scholars
R003,2026-09-08 16:10,phd,30-39,female,other,eu,1,0,1,0,0,0,0,0,0,5,daily,1,1,0,0,0,laptop,5-15,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,email,2-3,0,1,1,1,0,0,3,3,6,4,4,3,6,6,6,6,4,4,1,3,4,6,2,5,The syllabus page was empty in 3 of my 4 courses. The actual course guide was a PDF somewhere in Files.,"The Modules page for Qualitative Methods was set up week by week with readings, slides and the recording in one place. That is how every course should look.",I use Notion for everything and Canvas is just the place where files live.,0.003,2.569,S2 Structured Scholars
R004,2026-09-08 16:21,lecturer,40-49,male,tshd,nl,3,9-16,1,0,0,0,0,0,0,3,1,1,1,0,0,1,desktop,5-15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,email,2-3,0,1,0,0,1,0,3,5,2,4,3,2,4,2,2,5,1,1,1,2,4,3,5,6,Uploading a 200 MB recording failed twice without any message.,Grades were visible to students without me having to send them individually,Training once a year is not enough; I need help at the moment I am doing it.,3.71,-2.842,S5 Reluctant Instructors
R005,2026-09-08 18:55,msc,21-24,female,other,nl,2,0,1,0,0,0,0,0,0,6,4-6,1,0,0,0,1,laptop,gt30,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,inapp,1,0,1,0,1,0,0,3,6,3,5,4,2,5,4,5,4,2,5,3,2,4,5,1,6,"Group project files were spread across Canvas groups, Google Drive and WhatsApp. Canvas Collaborations didn't work with our university accounts.",,,1.942,1.078,S2 Structured Scholars
R006,2026-09-08 19:15,msc,25-29,male,tisem,noneu,3,9-16,1,0,0,0,0,0,0,6,daily,1,0,0,0,0,laptop,gt30,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,off,2-3,0,1,1,1,0,0,3,5,4,4,3,4,4,5,6,5,4,4,1,3,4,5,2,6,"trying to see the deadlines of all courses in one view. Exported the calendar feed to Google Calendar, but half the assignments had no dates so they never appeared.","The calendar feed into Google Calendar, once the lecturer actually dated everything.",A proper reading list with status (read / to read) would be great.,0.922,1.664,S2 Structured Scholars
R007,2026-09-08 19:34,bsc,17-20,male,tshd,nl,5,1-8,0,0,1,0,0,0,0,5,several,1,0,0,1,0,phone,lt2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,inapp,2-3,0,0,1,1,0,0,3,5,5,5,3,4,2,4,5,4,3,4,3,1,2,4,5,6,"Checking my grade for the Deep Learning midterm: the number was there but the class average was hidden, so I couldn't tell if a 6.1 was good or bad.",The announcement about the room change came right before the lecture; I would have gone to the wrong building.,,-1.973,-2.043,S1 Deadline Sprinters
R008,2026-09-08 20:46,bsc,25-29,male,tshd,nl,5,17-24,1,0,0,0,0,0,0,4,4-6,1,0,1,1,0,laptop,5-15,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,email,1,0,1,0,1,1,0,5,3,3,3,5,3,6,6,5,3,6,4,3,2,4,5,1,6,Came back after a week of night shifts and the Developmental Psychology module for that week had 14 items. Which of these do I actually need before the tutorial?,Being able to submit from my phone during a break.,,0.031,0.529,S3 Overloaded Jugglers
R009,2026-09-08 21:06,lecturer,40-49,male,tisem,noneu,1,9-16,0,0,1,0,0,0,0,3,1,1,0,1,0,0,desktop,5-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,email,2-3,0,1,0,0,1,0,2,5,5,4,6,1,2,2,4,1,2,1,1,3,4,2,5,6,"I do not use the calendar; my secretary keeps my agenda. But students expect the deadlines to be in Canvas, so there is always a mismatch.","Nothing comes to mind, honestly.",,3.895,-2.756,S5 Reluctant Instructors
R010,2026-09-08 21:35,bsc,17-20,female,tshd,noneu,4,9-16,1,0,0,0,0,0,0,5,several,1,0,0,1,0,phone,lt2,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,push,2-3,0,0,0,1,0,0,3,5,5,4,1,4,4,5,4,3,5,5,5,1,2,3,4,6,"Discussion post for Philosophy of Mind counted as an assignment, so it showed up in my grades as 0 for a week and freaked me out.",,,-3.062,-1.57,S1 Deadline Sprinters
